date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
"2023-01-03","298.06","298.39","288.7","294.95","294.95","6763964","6764000","-3.11","-1.04","293.92","January 03, 23","-0.0104",
"2022-12-30","285.53","295.01","283.22","294.88","294.88","7566892","7557400","9.35","3.27","290.2","December 30, 22","0.0327",
"2022-12-29","283.18","295.4999","281.01","291.12","291.119995","9588527","9588500","7.94","2.8","290.59","December 29, 22","0.028",
"2022-12-28","281.92","285.19","273.41","276.88","276.88","5939369","5964400","-5.04","-1.79","278","December 28, 22","-0.0179",
"2022-12-27","293.19","293.57","282.13","284.17","284.17","5778098","5778100","-9.02","-3.08","286.83","December 27, 22","-0.0308",
"2022-12-23","296.18","298.4614","291.91","294.965","294.959991","4251108","4251100","-1.215","-0.41022","294.77","December 23, 22","-0.0041022",
"2022-12-22","298.09","298.88","290.8131","297.75","297.75","7856192","7856200","-0.34","-0.11406","295.58","December 22, 22","-0.0011406",
"2022-12-21","289.99","300.66","286.5","297.96","297.959991","6376173","6376200","7.97","2.75","296.25","December 21, 22","0.0275",
"2022-12-20","281.24","289.28","280.81","288.19","288.19","6918114","6918100","6.95","2.47","286.47","December 20, 22","0.0247",
"2022-12-19","289.73","292.25","286.13","288.3","288.299988","6163667","6163700","-1.43","-0.49356","288.87","December 19, 22","-0.0049356",
"2022-12-16","288.76","294.7199","288.7","290.71","290.709991","14076845","14080000","1.95","0.6753","291.28","December 16, 22","0.006753",
"2022-12-15","302.12","303.39","286.55","290.41","290.41","17720656","17724600","-11.71","-3.88","292.84","December 15, 22","-0.0388",
"2022-12-14","318.97","324.71","314.42","317.83","317.829987","7539291","7543300","-1.14","-0.3574","320.5","December 14, 22","-0.003574",
"2022-12-13","328","332.7236","317.199","320.34","320.339996","10756428","10756400","-7.66","-2.34","325.68","December 13, 22","-0.0234",
"2022-12-12","320","323.18","308.85","315.18","315.179993","10148614","10148600","-4.82","-1.51","313.23","December 12, 22","-0.0151",
"2022-12-09","321.45","329","319.52","320.01","320.01","14364032","14364000","-1.44","-0.44797","323.88","December 09, 22","-0.0044797",
"2022-12-08","309.11","312.38","304.8098","310.26","310.26","7205326","7205300","1.15","0.37204","309.18","December 08, 22","0.0037204",
"2022-12-07","306.5","309.61","302.1","308.42","308.42","7821634","7821600","1.92","0.62643","306.38","December 07, 22","0.0062643",
